Month	Site	Replicate	Taxon	Count	Percent
October	F	2	Lepidoptera	2802	0.642365887
October	F	2	Dasyhelea	0	0
October	F	2	Odonata	0	0
October	F	2	Ceratopogonidae	665	0.152453003
October	F	2	Diptera	54	0.012379642
October	F	2	Coleoptera	0	0
October	F	2	Orthoptera	0	0
October	F	2	Culicoides	0	0
October	F	2	Chironomidae	0	0
October	F	3	Lepidoptera	760	0.174232004
October	F	3	Dasyhelea	0	0
October	F	3	Odonata	0	0
October	F	3	Ceratopogonidae	0	0
October	F	3	Diptera	18	0.004126547
October	F	3	Coleoptera	0	0
October	F	3	Orthoptera	0	0
October	F	3	Culicoides	0	0
October	F	3	Chironomidae	0	0
October	G	1	Lepidoptera	98	0.144329897
October	G	1	Dasyhelea	0	0
October	G	1	Odonata	0	0
October	G	1	Ceratopogonidae	0	0
October	G	1	Diptera	0	0
October	G	1	Coleoptera	0	0
October	G	1	Orthoptera	0	0
October	G	1	Culicoides	0	0
October	G	1	Chironomidae	132	0.194403535
October	G	2	Lepidoptera	207	0.304860088
October	G	2	Dasyhelea	0	0
October	G	2	Odonata	0	0
October	G	2	Ceratopogonidae	0	0
October	G	2	Diptera	41	0.060382916
October	G	2	Coleoptera	0	0
October	G	2	Orthoptera	0	0
October	G	2	Culicoides	0	0
October	G	2	Chironomidae	0	0
October	G	3	Lepidoptera	190	0.27982327
October	G	3	Dasyhelea	0	0
October	G	3	Odonata	0	0
October	G	3	Ceratopogonidae	0	0
October	G	3	Diptera	0	0
October	G	3	Coleoptera	11	0.016200295
October	G	3	Orthoptera	0	0
October	G	3	Culicoides	0	0
October	G	3	Chironomidae	0	0
