Month	Site	Replicate	Taxon	Count	Percent
July	F	1	Culicoides	0	0
July	F	1	Chironomidae	0	0
July	F	2	Lepidoptera	34	0.024745269
July	F	2	Dasyhelea	0	0
July	F	2	Odonata	0	0
July	F	2	Ceratopogonidae	0	0
July	F	2	Diptera	14	0.010189229
July	F	2	Coleoptera	19	0.013828239
July	F	2	Orthoptera	0	0
July	F	2	Culicoides	0	0
July	F	2	Chironomidae	0	0
July	F	3	Lepidoptera	96	0.069868996
July	F	3	Dasyhelea	51	0.037117904
July	F	3	Odonata	0	0
July	F	3	Ceratopogonidae	40	0.029112082
July	F	3	Diptera	0	0
July	F	3	Coleoptera	15	0.010917031
July	F	3	Orthoptera	0	0
July	F	3	Culicoides	0	0
July	F	3	Chironomidae	0	0
July	G	1	Lepidoptera	42	0.079245283
July	G	1	Dasyhelea	0	0
July	G	1	Odonata	0	0
July	G	1	Ceratopogonidae	0	0
July	G	1	Diptera	0	0
July	G	1	Coleoptera	0	0
July	G	1	Orthoptera	0	0
July	G	1	Culicoides	0	0
July	G	1	Chironomidae	0	0
July	G	2	Lepidoptera	134	0.252830189
July	G	2	Dasyhelea	0	0
July	G	2	Odonata	0	0
July	G	2	Ceratopogonidae	0	0
July	G	2	Diptera	47	0.088679245
July	G	2	Coleoptera	0	0
July	G	2	Orthoptera	0	0
July	G	2	Culicoides	0	0
July	G	2	Chironomidae	8	0.01509434
July	G	3	Lepidoptera	286	0.539622642
July	G	3	Dasyhelea	0	0
July	G	3	Odonata	0	0
July	G	3	Ceratopogonidae	0	0
July	G	3	Diptera	13	0.024528302
July	G	3	Coleoptera	0	0
July	G	3	Orthoptera	0	0
July	G	3	Culicoides	0	0
July	G	3	Chironomidae	0	0
