Month	Site	Replicate	Taxon	Count	Percent
April	F	1	Ostracoda	0	0
April	F	2	Insecta	18995	0.3377069
April	F	2	Arthropoda	989	0.01758316
April	F	2	Clitellata	4	7.11149E-05
April	F	2	Arachnida	33	0.000586698
April	F	2	Hydrozoa	12	0.000213345
April	F	2	Bdelloidea	0	0
April	F	2	Gastropoda	2	3.55575E-05
April	F	2	Monogononta	0	0
April	F	2	Ostracoda	29	0.000515583
April	F	3	Insecta	14454	0.256973705
April	F	3	Arthropoda	4081	0.072554981
April	F	3	Clitellata	4	7.11149E-05
April	F	3	Arachnida	18	0.000320017
April	F	3	Hydrozoa	0	0
April	F	3	Bdelloidea	42	0.000746706
April	F	3	Gastropoda	45	0.000800043
April	F	3	Monogononta	0	0
April	F	3	Ostracoda	23	0.000408911
April	G	1	Insecta	5065	0.261784164
April	G	1	Arthropoda	2057	0.106315898
April	G	1	Clitellata	29	0.001498863
April	G	1	Arachnida	130	0.006719041
April	G	1	Hydrozoa	54	0.002790986
April	G	1	Bdelloidea	14	0.000723589
April	G	1	Gastropoda	22	0.001137068
April	G	1	Monogononta	0	0
April	G	1	Ostracoda	30	0.001550548
April	G	2	Insecta	2448	0.126524705
April	G	2	Arthropoda	2857	0.147663841
April	G	2	Clitellata	16	0.000826959
April	G	2	Arachnida	232	0.011990903
April	G	2	Hydrozoa	5	0.000258425
April	G	2	Bdelloidea	110	0.005685342
April	G	2	Gastropoda	0	0
April	G	2	Monogononta	0	0
April	G	2	Ostracoda	0	0
April	G	3	Insecta	2454	0.126834815
April	G	3	Arthropoda	3304	0.170767004
April	G	3	Clitellata	0	0
April	G	3	Arachnida	228	0.011784164
April	G	3	Hydrozoa	0	0
April	G	3	Bdelloidea	268	0.013851561
April	G	3	Gastropoda	25	0.001292123
April	G	3	Monogononta	0	0
April	G	3	Ostracoda	0	0
