Month	Site	Replicate	Taxon	Count	Percent
April	G	2	Diptera	0	0
April	G	2	Coleoptera	0	0
April	G	2	Orthoptera	0	0
April	G	2	Culicoides	17	0.007446343
April	G	2	Chironomidae	206	0.090232151
April	G	3	Lepidoptera	170	0.074463425
April	G	3	Dasyhelea	0	0
April	G	3	Odonata	0	0
April	G	3	Ceratopogonidae	0	0
April	G	3	Diptera	56	0.024529128
April	G	3	Coleoptera	0	0
April	G	3	Orthoptera	0	0
April	G	3	Culicoides	14	0.006132282
April	G	3	Chironomidae	74	0.032413491
